,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu
hashrate,280.0,35.0,37.0,503.0,25.0,242.0,90.0,280.0,19.0,165.0,39.0,258.0,123.0,33.0,560.0,38.0,0.0,40.0,61.0,88.0,105.0,36.0,36.0,43.0,48.0,9.0,228.0,1203.0,1530.0,596.0,13.0,45.0,121.0
hashrate,0.004522268725645836,0.0005652835907057295,0.0005975855101746283,0.008123932746428055,0.0004037739933612354,0.003908532255736758,0.0014535863761004472,0.004522268725645836,0.00030686823495453886,0.0026649083561841535,0.0006298874296435272,0.004166947611487949,0.001986568047337278,0.0005329816712368307,0.009044537451291672,0.0006137364699090777,0.0,0.0006460383893779766,0.0009852085438014143,0.0014212844566315484,0.0016958507721171886,0.0005814345504401789,0.0005814345504401789,0.0006944912685813248,0.0007752460672535719,0.00014535863761004473,0.0036824188194544663,0.019429604560542647,0.024710968393707605,0.00962597200173185,0.0002099624765478424,0.0007267931880502236,0.001954266127868379
