,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda
hashrate,242.0,37.0,34.0,469.0,56.0,237.0,80.0,260.0,18.0,162.0,39.0,265.0,126.0,60.0,562.0,40.0,0.0,35.0,64.0,60.0,101.0,37.0,37.0,42.0,59.0,39.0,219.0,1184.0,1526.0,602.0,20.0,44.0
hashrate,0.003794772054470101,0.0005801924215512137,0.0005331497927767911,0.007354330965068089,0.0008781290704558911,0.0037163676731793963,0.001254470100651273,0.004077027827116638,0.00028225577264653646,0.0025403019538188278,0.0006115541740674956,0.004155432208407341,0.0019757904085257547,0.0009408525754884547,0.008812652457075193,0.0006272350503256365,0.0,0.000548830669034932,0.0010035760805210184,0.0009408525754884547,0.0015837685020722323,0.0005801924215512137,0.0005801924215512137,0.0006585968028419183,0.0009251716992303138,0.0006115541740674956,0.0034341119005328598,0.01856615748963884,0.02392901716992303,0.00943988750740083,0.00031361752516281826,0.0006899585553582001
