,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda
hashrate,229.0,39.0,40.0,428.0,61.0,235.0,84.0,276.0,17.0,156.0,39.0,264.0,129.0,53.0,571.0,0.0,0.0,39.0,64.0,86.0,60.0,43.0,37.0,0.0,55.0,39.0,184.0,1243.0,1532.0,587.0,19.0,46.0
hashrate,0.0037507137490608564,0.0006387678437265213,0.0006551465063861758,0.007010067618332082,0.000999098422238918,0.003848985725018783,0.0013758076634109691,0.004520510894064613,0.00027843726521412473,0.0025550713749060852,0.0006387678437265213,0.00432396694214876,0.002112847483095417,0.000868069120961683,0.00935221637866266,0.0,0.0,0.0006387678437265213,0.0010482344102178815,0.001408564988730278,0.0009827197595792636,0.000704282494365139,0.0006060105184072126,0.0,0.0009008264462809917,0.0006387678437265213,0.0030136739293764084,0.020358677685950413,0.025092111194590535,0.009614274981217131,0.0003111945905334335,0.0007534184823441021
